NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
138	313.064	3.036	51.259	2.18	0.002	1.0	30000.0
139	374.201	3.655	73.731	3.114	0.002	0.999	30000.0
140	468.064	4.578	81.214	3.419	0.002	0.999	40000.0
141	328.693	3.208	61.761	2.583	0.002	0.999	20000.0
142	372.113	3.608	68.98	2.932	0.002	0.999	20000.0
143	419.898	4.078	86.253	3.671	0.002	0.999	20000.0
144	348.012	3.396	62.419	2.614	0.002	0.999	20000.0
145	336.109	3.274	60.947	2.524	0.002	0.999	20000.0
146	399.381	3.891	69.351	2.886	0.002	0.999	30000.0
147	359.737	3.505	59.059	2.5	0.002	0.999	30000.0
148	426.291	4.149	74.389	3.137	0.002	0.999	30000.0
149	357.183	3.475	65.628	2.772	0.002	0.999	20000.0
150	404.066	3.919	76.631	3.284	0.002	0.999	20000.0
151	380.712	3.721	61.402	2.608	0.002	1.0	20000.0
152	393.324	3.825	101.572	4.328	0.002	0.999	50000.0
153	337.515	3.274	67.62	2.845	0.002	0.999	20000.0
154	385.678	3.742	68.219	2.901	0.002	0.999	20000.0
155	386.428	3.754	78.194	3.283	0.002	1.0	20000.0
156	402.444	3.931	61.667	2.612	0.003	1.0	30000.0
157	406.94	3.958	69.116	2.911	0.002	1.0	30000.0
158	333.735	3.268	54.407	2.351	0.002	1.0	20000.0
159	338.981	3.296	57.631	2.431	0.002	1.0	20000.0
160	351.661	3.447	54.574	2.351	0.002	0.999	20000.0
161	349.848	3.414	61.877	2.607	0.002	0.999	40000.0
162	376.184	3.66	70.128	2.993	0.002	1.0	20000.0
163	383.169	3.732	73.689	3.06	0.003	0.999	40000.0
164	401.747	3.898	73.379	3.093	0.002	0.999	50000.0
165	413.589	4.023	74.37	3.079	0.002	0.999	20000.0
166	365.139	3.557	64.637	2.713	0.002	0.999	20000.0
167	454.161	4.409	88.567	3.758	0.002	0.999	20000.0
168	420.892	4.088	81.156	3.435	0.002	0.999	20000.0
169	450.513	4.403	75.992	3.247	0.003	0.999	40000.0
170	426.321	4.14	92.144	3.886	0.002	0.999	20000.0
171	457.331	4.446	77.311	3.25	0.002	1.0	20000.0
172	377.077	3.661	72.355	3.059	0.002	0.999	20000.0
173	402.346	3.907	65.576	2.769	0.002	1.0	20000.0
174	426.139	4.149	83.335	3.552	0.002	1.0	20000.0
175	303.047	2.942	50.316	2.129	0.002	1.0	20000.0
176	371.938	3.622	64.532	2.695	0.002	0.999	20000.0
177	367.558	3.563	80.241	3.415	0.002	0.999	20000.0
178	379.42	3.72	70.079	3.031	0.002	0.999	20000.0
179	316.556	3.069	59.901	2.542	0.002	1.0	30000.0
180	387.227	3.782	61.95	2.615	0.002	0.999	20000.0
181	385.626	3.774	68.739	2.922	0.002	1.0	30000.0
182	289.318	2.802	51.292	2.177	0.002	1.0	20000.0
183	376.863	3.69	65.202	2.798	0.002	1.0	20000.0
184	370.091	3.601	65.342	2.738	0.002	0.999	30000.0
185	376.352	3.668	73.349	3.076	0.002	0.999	20000.0
186	380.544	3.72	62.219	2.627	0.002	1.0	30000.0
187	366.385	3.556	58.866	2.491	0.002	1.0	30000.0
188	352.901	3.44	61.139	2.549	0.002	0.999	20000.0
189	398.676	3.894	66.481	2.807	0.002	1.0	40000.0
190	391.673	3.799	71.468	3.065	0.002	0.999	30000.0
191	464.702	4.538	85.948	3.695	0.002	0.999	30000.0
192	401.965	3.911	74.623	3.183	0.002	1.0	20000.0
193	385.599	3.739	70.297	2.98	0.002	0.999	30000.0
194	391.765	3.826	66.616	2.805	0.002	0.999	30000.0
