NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
158	1101.286	1.837	152.459	2.205	0.0	0.999	20000.0
159	1248.36	2.088	173.927	2.527	0.0	0.999	20000.0
160	1401.87	2.35	181.679	2.647	0.0	0.998	20000.0
161	1077.668	1.799	143.666	2.078	0.0	0.999	20000.0
162	1338.693	2.235	179.965	2.605	0.001	0.998	20000.0
163	1263.524	2.111	166.981	2.425	0.0	0.998	30000.0
164	1220.839	2.038	155.23	2.248	0.0	0.998	20000.0
165	1101.101	1.837	147.379	2.136	0.0	0.999	20000.0
166	1302.371	2.189	167.981	2.45	0.0	0.998	30000.0
167	1003.072	1.674	143.327	2.074	0.0	0.999	40000.0
168	1412.085	2.362	181.439	2.633	0.001	0.998	20000.0
169	1217.069	2.034	167.026	2.424	0.0	0.998	20000.0
170	1039.672	1.736	149.227	2.165	0.0	0.999	20000.0
171	1367.545	2.29	179.545	2.618	0.0	0.998	20000.0
172	1218.955	2.042	158.477	2.306	0.0	0.998	20000.0
173	1258.922	2.103	174.687	2.526	0.001	0.998	20000.0
174	1163.169	1.94	157.316	2.281	0.0	0.998	20000.0
175	1055.01	1.76	140.88	2.039	0.0	0.999	20000.0
176	1194.241	1.993	152.185	2.201	0.0	0.999	20000.0
177	1275.271	2.136	175.695	2.555	0.0	0.998	20000.0
178	1168.207	1.952	149.424	2.166	0.0	0.999	20000.0
179	1218.716	2.035	171.107	2.474	0.0	0.998	20000.0
180	1140.951	1.903	150.963	2.183	0.0	0.999	20000.0
181	1474.556	2.466	189.349	2.753	0.001	0.998	20000.0
182	1158.937	1.934	153.069	2.221	0.0	0.998	20000.0
183	1241.381	2.074	162.136	2.355	0.0	0.998	20000.0
184	1440.226	2.409	181.904	2.64	0.001	0.998	20000.0
185	1234.197	2.059	157.632	2.284	0.001	0.998	20000.0
186	1225.296	2.048	166.786	2.423	0.0	0.998	20000.0
187	1051.879	1.755	136.981	1.981	0.0	0.999	20000.0
188	1270.306	2.126	157.65	2.291	0.0	0.998	20000.0
189	1086.805	1.835	161.818	2.373	0.0	0.998	20000.0
190	1424.714	2.381	198.274	2.879	0.001	0.998	30000.0
191	1232.877	2.061	167.956	2.438	0.0	0.999	20000.0
192	1170.284	1.953	153.733	2.228	0.0	0.998	20000.0
193	1144.605	1.91	151.386	2.195	0.0	0.999	30000.0
194	1241.728	2.074	162.262	2.353	0.0	0.998	20000.0
195	1030.716	1.721	134.753	1.953	0.0	0.999	20000.0
196	1225.01	2.045	157.932	2.291	0.0	0.998	20000.0
197	1134.436	1.892	164.678	2.384	0.0	0.998	20000.0
198	1089.869	1.82	145.9	2.113	0.0	0.999	30000.0
199	1051.533	1.756	140.911	2.041	0.0	0.999	20000.0
200	1109.054	1.852	146.213	2.118	0.0	0.999	30000.0
201	1066.612	1.779	144.922	2.1	0.0	0.999	30000.0
202	1410.458	2.357	187.664	2.724	0.001	0.998	20000.0
203	1318.677	2.208	173.836	2.528	0.0	0.998	20000.0
204	1159.942	1.939	158.396	2.303	0.0	0.998	20000.0
205	1331.794	2.228	179.19	2.602	0.001	0.998	20000.0
206	1258.252	2.104	162.048	2.355	0.0	0.999	20000.0
207	1216.822	2.045	178.563	2.603	0.0	0.998	20000.0
208	1134.058	1.898	160.953	2.344	0.0	0.998	20000.0
209	1234.57	2.063	161.249	2.346	0.0	0.998	20000.0
210	1036.581	1.731	143.796	2.081	0.0	0.999	20000.0
211	1116.619	1.865	149.57	2.169	0.0	0.999	20000.0
212	1197.362	1.999	161.448	2.34	0.0	0.998	20000.0
213	1236.178	2.069	153.255	2.23	0.0	0.998	20000.0
214	1350.007	2.257	182.766	2.649	0.001	0.998	30000.0
215	1073.913	1.793	141.971	2.058	0.0	0.999	20000.0
216	1201.51	2.008	161.722	2.344	0.0	0.999	30000.0
217	1176.495	1.972	166.954	2.437	0.0	0.999	20000.0
218	1338.371	2.237	168.384	2.446	0.0	0.998	20000.0
219	1280.635	2.14	159.689	2.316	0.0	0.999	20000.0
220	1095.78	1.828	152.628	2.208	0.0	0.999	20000.0
221	1235.551	2.065	159.539	2.314	0.0	0.999	20000.0
222	1108.76	1.851	152.999	2.216	0.0	0.999	20000.0
